classifier,generator,real_f1,synth_f1,mixed_f1,bias_synth_full,bias_mixed_full,proxy_synth_mean,proxy_synth_ci_lo,proxy_synth_ci_hi,proxy_synth_sig,proxy_mixed_mean,proxy_mixed_ci_lo,proxy_mixed_ci_hi,proxy_mixed_sig
roberta,gpt-4o-mini,0.824,0.705,0.811,0.26,0.043,0.10744743407358448,0.09547641094146508,0.11582896487624073,True,0.00650180181418462,-0.018874399899757366,0.020208188950680217,False
roberta,gpt-5.4-mini,0.824,0.697,0.809,0.238,0.052,0.06737047707972843,0.03306948334036086,0.10535106902180957,True,0.009622540482404593,0.003502958343318485,0.018377563385675644,True
roberta,mistral-7b,0.824,0.678,0.818,0.213,-0.008,0.11236166702856519,0.09855530851295807,0.12784714346929116,True,-0.0027996715982595197,-0.012434842522350276,0.010060494060403546,False
roberta,qwen-2.5-7b,0.824,0.705,0.805,0.169,0.022,0.045861484564856836,0.041355149914418354,0.05478530740305554,True,0.0006379457026519283,-0.005814012968890059,0.008977231113471484,False
roberta,gemma-2-9b,0.824,0.718,0.808,0.256,0.074,0.07132317577066612,0.060176969008377434,0.08625337427713264,True,0.014623094949292629,0.004289426836086685,0.024891376133977405,True
roberta,llama-3.1-8b,0.824,0.712,0.815,0.048,0.028,0.008260722780497573,0.0004719391902228143,0.02201908184774204,True,0.005284783364551886,-0.0010894021508796037,0.014063881307441517,False
roberta,llama-3.2-3b,0.824,0.717,0.813,-0.122,-0.015,-0.043085042028471965,-0.06516044852972025,-0.010215378868042801,True,-0.003256867285658512,-0.015422737835653844,0.008547317731449344,False
debertav3,gpt-4o-mini,0.849,0.714,0.833,0.188,-0.001,0.10398346366409028,0.07530032468896541,0.1466566345302226,True,0.001314200077317788,-0.0038488456095857604,0.007778739552165792,False
debertav3,gpt-5.4-mini,0.849,0.751,0.837,0.066,-0.018,0.02488922111298908,0.005260038997763172,0.050878485076744084,True,-0.001278465829837298,-0.002841319193470415,0.0016334272645212033,False
debertav3,mistral-7b,0.849,0.705,0.836,0.046,-0.026,0.058883106951691744,0.023941674362659482,0.08993997783249097,True,-0.004150232188738816,-0.006662343838274132,-0.0017944968880854173,True
debertav3,qwen-2.5-7b,0.849,0.766,0.834,-0.053,-0.005,-0.0031565447497330368,-0.021100792950631275,0.012480229203548743,False,0.002265566457533138,-0.0037801166370644568,0.010854918655355816,False
debertav3,gemma-2-9b,0.849,0.767,0.842,0.146,-0.0,0.04091513195684967,0.03470655862852756,0.0479506759622188,True,0.0029340085770095023,-0.001232844696204216,0.009869257638373763,False
debertav3,llama-3.1-8b,0.849,0.769,0.844,-0.188,-0.009,-0.03767170186022425,-0.05684294030850623,-0.02769265781145014,True,0.0007864624037715225,-0.0003876192988415683,0.00291752332015216,False
debertav3,llama-3.2-3b,0.849,0.76,0.841,-0.207,-0.018,-0.04907546664228146,-0.09811724063998228,-0.020796216915602295,True,0.0004393547368770623,-0.005314442455207846,0.007069505710988189,False
bertweet,gpt-4o-mini,0.82,0.692,0.804,0.086,-0.06,0.07742414772677549,0.06887476041287399,0.08711122223385159,True,-0.008504417261452457,-0.009888685291815191,-0.007441514917885694,True
bertweet,gpt-5.4-mini,0.82,0.708,0.802,0.082,-0.033,0.0452586011865909,0.03509842819826958,0.05180935372200235,True,-0.004932141162374874,-0.007468007373842012,-0.0031653612807208686,True
bertweet,mistral-7b,0.82,0.684,0.807,0.12,-0.062,0.09506336381141058,0.08300737221621479,0.11409273460389474,True,-0.009349120387878052,-0.011319746810079079,-0.006874124710475993,True
bertweet,qwen-2.5-7b,0.82,0.707,0.805,-0.03,-0.08,0.007011467355498957,-0.010660478162446307,0.02957548248620434,False,-0.010373396652183545,-0.01514142808252028,-0.005771830817593138,True
bertweet,gemma-2-9b,0.82,0.707,0.804,0.026,-0.098,0.02301798322225142,0.015535774544043535,0.035040362020409055,True,-0.016619720545458055,-0.026971411312707194,-0.010717997991007588,True
bertweet,llama-3.1-8b,0.82,0.71,0.806,-0.075,-0.052,-0.014745556626531764,-0.04121475073635317,0.021825649760151,False,-0.006110431781226462,-0.01006220043728634,-0.002494906294345234,True
bertweet,llama-3.2-3b,0.82,0.708,0.803,-0.112,-0.121,-0.025165810879004786,-0.03804047591502491,-0.0017793397378823572,True,-0.017742591818679543,-0.03908877915011355,-0.0040203212639279284,True
